#Spokes Wrapper Device Capabilities List,,,,,,,,,
,,,,,,,,,
#ProductId,#DeviceName,HasProximity,HasMobCallerId,HasMobCallState,HasDocking,HasWearingSensor,HasMultiline,IsWireless,HasQDConnector
410,BellRinger,No,No,No,No,No,No,No,No
411,Hydra,No,No,No,Yes,No,Yes,Yes,No
DA45,DA45,Yes,No,No,No,No,No,Yes,Yes
620,Calisto Pro,No,No,No,No,No,No,Yes,No
AB12,Yeti,No,No,No,Yes,No,No,Yes,No
AC01,Poseidon,No,No,Yes,Yes,No,Yes,Yes,No
AC11,Poseidon,No,No,Yes,Yes,No,Yes,Yes,No
412,Hydra,No,No,No,Yes,No,Yes,Yes,No
4254,BlueMax,No,No,No,No,No,No,Yes,No
715,Bluetooth Adapter,Yes,Yes,Yes,Yes,Yes,No,Yes,No
716,Bluetooth Adapter,Yes,Yes,Yes,Yes,Yes,No,Yes,No
717,Bluetooth Adapter,Yes,Yes,Yes,Yes,Yes,No,Yes,No
718,Bluetooth Adapter,Yes,Yes,Yes,Yes,Yes,No,Yes,No
413,Bluetooth Adapter,Yes,Yes,Yes,Yes,Yes,No,Yes,No
414,Bluetooth Adapter,Yes,Yes,Yes,Yes,Yes,No,Yes,No
415,Bluetooth Adapter,Yes,Yes,Yes,Yes,Yes,No,Yes,No
416,Bluetooth Adapter,Yes,Yes,Yes,Yes,Yes,No,Yes,No
417,Bluetooth Adapter,Yes,Yes,Yes,Yes,Yes,No,Yes,No
418,Bluetooth Adapter,Yes,Yes,Yes,Yes,Yes,No,Yes,No
419,Bluetooth Adapter,Yes,Yes,Yes,Yes,Yes,No,Yes,No
ca00,Calisto 800,No,No,No,No,No,No,No,No
ca01,Calisto 800,No,No,No,No,No,No,No,No
AE11,Calisto 240,No,No,No,No,No,No,No,No
AE01,Calisto 240,No,No,No,No,No,No,No,No
CA03,Calisto 620 Series,No,Yes,Yes,No,No,No,No,No
10A,C700 Series,No,Yes,Yes,No,Yes,No,No,No
10B,C700 Series,No,Yes,Yes,No,Yes,No,No,No
124,C700 Series,No,Yes,Yes,No,Yes,No,No,No
125,C700 Series,No,Yes,Yes,No,Yes,No,No,No
10C,C700 Series,No,Yes,Yes,No,Yes,No,No,No
10D,C700 Series,No,Yes,Yes,No,Yes,No,No,No
AD03,MDA200,No,No,No,No,No,No,No,No
AB01,Yeti,No,No,No,Yes,No,No,Yes,No
AB11,Yeti,No,No,No,Yes,No,No,Yes,No
AB02,Yeti,No,No,No,Yes,No,No,Yes,No
C00E,C300 Series,No,No,No,No,No,No,No,No
C00F,C300 Series,No,No,No,No,No,No,No,No
C01E,C300 Series,No,No,No,No,No,No,No,No
C01F,C300 Series,No,No,No,No,No,No,No,No
C022,C300 Series,No,No,No,No,No,No,No,No
C023,C300 Series,No,No,No,No,No,No,No,No
C024,C300 Series,No,No,No,No,No,No,No,No
C025,C300 Series,No,No,No,No,No,No,No,No
C026,C300 Series,No,No,No,No,No,No,No,No
C027,C300 Series,No,No,No,No,No,No,No,No
C028,C300 Series,No,No,No,No,No,No,No,No
C029,C300 Series,No,No,No,No,No,No,No,No
C015,C500 Series,No,No,No,No,Yes,No,No,No
C016,C500 Series,No,No,No,No,Yes,No,No,No
C017,C500 Series,No,No,No,No,Yes,No,No,No
C018,C500 Series,No,No,No,No,Yes,No,No,No
C019,C500 Series,No,No,No,No,Yes,No,No,No
C01A,C500 Series,No,No,No,No,Yes,No,No,No
C01B,C500 Series,No,No,No,No,Yes,No,No,No
C01C,C500 Series,No,No,No,No,Yes,No,No,No
117,Emerald,Yes,Yes,Yes,Yes,Yes,No,Yes,No
118,Emerald,Yes,Yes,Yes,Yes,Yes,No,Yes,No
119,Emerald,Yes,Yes,Yes,Yes,Yes,No,Yes,No
011E,Emerald,Yes,Yes,Yes,Yes,Yes,No,Yes,No
011F,Emerald,Yes,Yes,Yes,Yes,Yes,No,Yes,No
120,Emerald,Yes,Yes,Yes,Yes,Yes,No,Yes,No
121,Emerald,Yes,Yes,Yes,Yes,Yes,No,Yes,No
C032,C435,No,No,No,No,No,No,No,No
C033,C435,No,No,No,No,No,No,No,No
AF00,db,No,No,No,No,No,No,No,Yes
AF01,Doubloon DA80,No,No,No,No,No,No,No,Yes
AF02,db,No,No,No,No,No,No,No,Yes
AE02,cn,No,No,No,No,No,No,No,No
AE03,cn,No,No,No,No,No,No,No,No
C02F,ss,No,No,No,No,No,No,No,No
C034,pr,No,No,No,No,No,No,No,No
02ff,BT300 Cydoemus,Yes,Yes,Yes,Yes,Yes,No,Yes,No
02FA,BT600,Yes,Yes,Yes,Yes,Yes,No,Yes,No
AF03,db,No,No,No,No,No,No,No,Yes
AF04,db,No,No,No,No,No,No,No,Yes
AF05,db,No,No,No,No,No,No,No,Yes
AF06,db,No,No,No,No,No,No,No,Yes
AF07,db,No,No,No,No,No,No,No,Yes
AF09,db,No,No,No,No,No,No,No,Yes
02FB,BT600,Yes,Yes,Yes,Yes,Yes,No,Yes,No
02FC,BT600,Yes,Yes,Yes,Yes,Yes,No,Yes,No
127,Voyager Focus,Yes,Yes,Yes,Yes,Yes,No,Yes,No
AF0A,mt,No,No,No,No,No,No,No,No
011A,nv,No,No,No,No,No,No,No,No
011C,nv,No,No,No,No,No,No,No,No
012E,em,Yes,Yes,Yes,Yes,Yes,No,Yes,No
C035,C500 Series,No,No,No,No,Yes,No,No,No
C036,C500 Series,No,No,No,No,Yes,No,No,No
129,C700 Series,No,Yes,Yes,No,Yes,No,No,No
12A,C700 Series,No,Yes,Yes,No,Yes,No,No,No
AF08,ap,No,No,No,No,No,No,No,No
011B,sb,No,No,No,No,No,No,No,No
AC20,si,No,No,No,No,No,No,No,No
AE11,Calisto P240,No,No,No,No,No,No,No,No
AE01,Calisto P240,No,No,No,No,No,No,No,No
AE10,Calisto P240,No,No,No,No,No,No,No,No
C00E,C300 Series,No,No,No,No,No,No,No,No
C01E,C300 Series,No,No,No,No,No,No,No,No
C00F,C300 Series,No,No,No,No,No,No,No,No
C01F,C300 Series,No,No,No,No,No,No,No,No
C022,C300 Series,No,No,No,No,No,No,No,No
C023,C300 Series,No,No,No,No,No,No,No,No
C024,C300 Series,No,No,No,No,No,No,No,No
C025,C300 Series,No,No,No,No,No,No,No,No
C026,C300 Series,No,No,No,No,No,No,No,No
C027,C300 Series,No,No,No,No,No,No,No,No
C028,C300 Series,No,No,No,No,No,No,No,No
C029,C300 Series,No,No,No,No,No,No,No,No
AC01,Savi W7xx,No,No,Yes,Yes,No,Yes,Yes,No
AC11,Savi W7xx,No,No,Yes,Yes,No,Yes,Yes,No
AD02,MDA200,No,No,No,No,No,No,No,No
AD03,MDA200,No,No,No,No,No,No,No,No
AB01,D100,No,No,No,Yes,No,No,Yes,No
CA03,Calisto 620 Series,No,Yes,Yes,No,No,No,No,No
CA01,Calisto 800 Series,No,No,No,No,No,No,No,No
AB02,D100,No,No,No,Yes,No,No,Yes,No
AB11,D100,No,No,No,Yes,No,No,Yes,No
AB12,D100,No,No,No,Yes,No,No,Yes,No
113,Voyager Legend Standard US,Yes,Yes,Yes,Yes,Yes,No,Yes,No
114,Voyager Legend Verizon,Yes,Yes,Yes,Yes,Yes,No,Yes,No
115,Voyager Legend Rest of World,Yes,Yes,Yes,Yes,Yes,No,Yes,No
413,BT300 UC USB Dongle Stop Ship,Yes,Yes,Yes,Yes,Yes,No,Yes,No
414,BT300M OC USB Dongle Stop Ship,Yes,Yes,Yes,Yes,Yes,No,Yes,No
415,BT300 UC USB Dongle,Yes,Yes,Yes,Yes,Yes,No,Yes,No
416,BT300M OC USB Dongle,Yes,Yes,Yes,Yes,Yes,No,Yes,No
417,R3 UC USB Dongle,No,Yes,Yes,No,No,No,Yes,No
418,R3 OC USB Dongle,No,Yes,Yes,No,No,No,Yes,No
10C,Blackwire C710 Headset,No,Yes,Yes,No,Yes,No,No,No
10D,Blackwire C710-M Headset,No,Yes,Yes,No,Yes,No,No,No
10A,Blackwire C720 Headset,No,Yes,Yes,No,Yes,No,No,No
10B,Blackwire C710-M Headset,No,Yes,Yes,No,Yes,No,No,No
6,Savor M1100 Original,No,No,No,No,No,No,No,No
100,Savor M1100 Verizon Headset,No,No,No,No,No,No,No,No
